"boundary","subject","Context","Speechness","stdize_b"
7.93736064869977,"X007","Tone 1","Nonspeech",7.93736064869977
8.36178636406169,"X011","Tone 1","Nonspeech",8.36178636406169
7.50597594634816,"X014","Tone 1","Nonspeech",7.50597594634816
8.89794737513139,"X010","Tone 1","Nonspeech",8.89794737513139
8.13005266576987,"X006","Tone 1","Nonspeech",8.13005266576987
8.36178636406169,"X016","Tone 1","Nonspeech",8.36178636406169
6.50335186295679,"X012","Tone 1","Nonspeech",6.50335186295679
8.08246503637173,"X015","Tone 1","Nonspeech",8.08246503637173
8.85725243873729,"X005","Tone 1","Nonspeech",8.85725243873729
7.63821362291954,"X014","Tone 1","Nonspeech",7.63821362291954
9.36178643844533,"X027","Tone 1","Nonspeech",9.36178643844533
7.05301357830461,"X003","Tone 1","Nonspeech",7.05301357830461
8.8312005460077,"X009","Tone 1","Nonspeech",8.8312005460077
9.97469900327544,"X020","Tone 1","Nonspeech",9.97469900327544
5.14618410608551,"X026","Tone 1","Nonspeech",5.14618410608551
8.9975957289855,"X008","Tone 1","Nonspeech",8.9975957289855
8.34856574351871,"X021","Tone 1","Nonspeech",8.34856574351871
9.76046545755409,"X025","Tone 1","Nonspeech",9.76046545755409
7.06203462342698,"X022","Tone 1","Nonspeech",7.06203462342698
5.76947171380283,"X024","Tone 1","Nonspeech",5.76947171380283
9.79461754714649,"X004","Tone 2","Nonspeech",9.79461754714649
9.11770665714437,"X017","Tone 2","Nonspeech",9.11770665714437
7.43490178890649,"X033","Tone 2","Nonspeech",7.43490178890649
9.1880674737704,"X030","Tone 2","Nonspeech",9.1880674737704
8.9612496234183,"X031","Tone 2","Nonspeech",8.9612496234183
9.36178643844533,"X001","Tone 2","Nonspeech",9.36178643844533
9.26790018195043,"X032","Tone 2","Nonspeech",9.26790018195043
8.17292475987851,"X035","Tone 2","Nonspeech",8.17292475987851
5.86410373785351,"X019","Tone 2","Nonspeech",5.86410373785351
8.0504091940743,"X018","Tone 2","Nonspeech",8.0504091940743
