"","step","Context tone","Speechness","subject","T4_count"
"266","step14","No context","Speech","X016",0
"267","step01","No context","Speech","X012",7
"268","step02","No context","Speech","X012",7
"269","step03","No context","Speech","X012",7
"270","step04","No context","Speech","X012",7
"271","step05","No context","Speech","X012",6
"272","step06","No context","Speech","X012",3
"273","step07","No context","Speech","X012",6
"274","step08","No context","Speech","X012",6
"275","step09","No context","Speech","X012",0
"276","step10","No context","Speech","X012",0
"277","step11","No context","Speech","X012",0
"278","step12","No context","Speech","X012",0
"279","step13","No context","Speech","X012",0
"280","step14","No context","Speech","X012",0
"281","step01","No context","Speech","X005",7
"282","step02","No context","Speech","X005",7
"283","step03","No context","Speech","X005",7
"284","step04","No context","Speech","X005",7
"285","step05","No context","Speech","X005",7
"286","step06","No context","Speech","X005",7
"287","step07","No context","Speech","X005",7
"288","step08","No context","Speech","X005",7
"289","step09","No context","Speech","X005",2
"290","step10","No context","Speech","X005",0
"291","step11","No context","Speech","X005",0
"292","step12","No context","Speech","X005",0
"293","step13","No context","Speech","X005",0
"294","step14","No context","Speech","X005",0
"295","step01","No context","Speech","X009",7
"296","step02","No context","Speech","X009",7
"297","step03","No context","Speech","X009",7
"298","step04","No context","Speech","X009",7
"299","step05","No context","Speech","X009",7
"300","step06","No context","Speech","X009",7
"301","step07","No context","Speech","X009",6
"302","step08","No context","Speech","X009",7
"303","step09","No context","Speech","X009",5
"304","step10","No context","Speech","X009",0
"305","step11","No context","Speech","X009",1
"306","step12","No context","Speech","X009",0
"307","step13","No context","Speech","X009",0
"308","step14","No context","Speech","X009",0
"309","step01","No context","Speech","X015",7
"310","step02","No context","Speech","X015",7
"311","step03","No context","Speech","X015",7
"312","step04","No context","Speech","X015",7
"313","step05","No context","Speech","X015",7
"314","step06","No context","Speech","X015",7
"315","step07","No context","Speech","X015",4
"316","step08","No context","Speech","X015",6
"317","step09","No context","Speech","X015",0
"318","step10","No context","Speech","X015",0
"319","step11","No context","Speech","X015",0
"320","step12","No context","Speech","X015",0
"321","step13","No context","Speech","X015",0
"322","step14","No context","Speech","X015",0
"323","step01","No context","Speech","X037",7
"324","step02","No context","Speech","X037",7
"325","step03","No context","Speech","X037",7
"326","step04","No context","Speech","X037",7
"327","step05","No context","Speech","X037",7
"328","step06","No context","Speech","X037",5
"329","step07","No context","Speech","X037",3
"330","step08","No context","Speech","X037",0
"331","step09","No context","Speech","X037",0
"332","step10","No context","Speech","X037",0
"333","step11","No context","Speech","X037",0
"334","step12","No context","Speech","X037",0
"335","step13","No context","Speech","X037",0
"336","step14","No context","Speech","X037",0
"337","step01","No context","Speech","X027",7
"338","step02","No context","Speech","X027",7
"339","step03","No context","Speech","X027",7
"340","step04","No context","Speech","X027",7
"341","step05","No context","Speech","X027",7
"342","step06","No context","Speech","X027",7
"343","step07","No context","Speech","X027",7
"344","step08","No context","Speech","X027",7
"345","step09","No context","Speech","X027",1
"346","step10","No context","Speech","X027",1
"347","step11","No context","Speech","X027",0
"348","step12","No context","Speech","X027",0
"349","step13","No context","Speech","X027",0
"350","step14","No context","Speech","X027",0
"351","step01","No context","Speech","X003",7
"352","step02","No context","Speech","X003",7
"353","step03","No context","Speech","X003",7
"354","step04","No context","Speech","X003",7
"355","step05","No context","Speech","X003",7
"356","step06","No context","Speech","X003",3
"357","step07","No context","Speech","X003",2
"358","step08","No context","Speech","X003",0
"359","step09","No context","Speech","X003",0
"360","step10","No context","Speech","X003",0
"361","step11","No context","Speech","X003",0
"362","step12","No context","Speech","X003",0
"363","step13","No context","Speech","X003",0
"364","step14","No context","Speech","X003",0
"365","step01","No context","Speech","X024",7
"366","step02","No context","Speech","X024",7
"367","step03","No context","Speech","X024",7
"368","step04","No context","Speech","X024",7
"369","step05","No context","Speech","X024",7
"370","step06","No context","Speech","X024",3
"371","step07","No context","Speech","X024",1
"372","step08","No context","Speech","X024",0
"373","step09","No context","Speech","X024",0
"374","step10","No context","Speech","X024",0
"375","step11","No context","Speech","X024",0
"376","step12","No context","Speech","X024",0
"377","step13","No context","Speech","X024",0
"378","step14","No context","Speech","X024",0
"379","step01","No context","Speech","X022",7
"380","step02","No context","Speech","X022",7
"381","step03","No context","Speech","X022",7
"382","step04","No context","Speech","X022",7
"383","step05","No context","Speech","X022",7
"384","step06","No context","Speech","X022",7
"385","step07","No context","Speech","X022",5
"386","step08","No context","Speech","X022",1
"387","step09","No context","Speech","X022",0
"388","step10","No context","Speech","X022",0
"389","step11","No context","Speech","X022",0
"390","step12","No context","Speech","X022",0
"391","step13","No context","Speech","X022",0
"392","step14","No context","Speech","X022",0
"393","step01","No context","Speech","X021",7
"394","step02","No context","Speech","X021",7
"395","step03","No context","Speech","X021",7
"396","step04","No context","Speech","X021",7
"397","step05","No context","Speech","X021",7
"398","step06","No context","Speech","X021",3
"399","step07","No context","Speech","X021",4
"400","step08","No context","Speech","X021",3
"401","step09","No context","Speech","X021",0
"402","step10","No context","Speech","X021",1
"403","step11","No context","Speech","X021",1
"404","step12","No context","Speech","X021",0
"405","step13","No context","Speech","X021",0
"406","step14","No context","Speech","X021",0
"407","step01","No context","Speech","X020",7
"408","step02","No context","Speech","X020",7
"409","step03","No context","Speech","X020",7
"410","step04","No context","Speech","X020",7
"411","step05","No context","Speech","X020",7
"412","step06","No context","Speech","X020",7
"413","step07","No context","Speech","X020",7
"414","step08","No context","Speech","X020",7
"415","step09","No context","Speech","X020",4
"416","step10","No context","Speech","X020",0
"417","step11","No context","Speech","X020",0
"418","step12","No context","Speech","X020",0
"419","step13","No context","Speech","X020",0
"420","step14","No context","Speech","X020",0
"421","step01","No context","Speech","X026",7
"422","step02","No context","Speech","X026",7
"423","step03","No context","Speech","X026",7
"424","step04","No context","Speech","X026",7
"425","step05","No context","Speech","X026",7
"426","step06","No context","Speech","X026",6
"427","step07","No context","Speech","X026",4
"428","step08","No context","Speech","X026",1
"429","step09","No context","Speech","X026",1
"430","step10","No context","Speech","X026",0
"431","step11","No context","Speech","X026",0
"432","step12","No context","Speech","X026",0
"433","step13","No context","Speech","X026",0
"434","step14","No context","Speech","X026",0
"435","step01","No context","Speech","X008",7
"436","step02","No context","Speech","X008",7
