Context,Exp,Index_ororiginal,Subject,Boundary,Condition,attention_stats,Speechness,Condition_lm,Context_lm
Tone 4,condition2,exp2,s28,8.859,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s29,8.605,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s29,8.055,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s29,9.314,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s30,7.67,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s30,6.669,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s30,7.352,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition5,exp5,s1,6.669,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s1,3.469,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s1,10.744,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s2,5.385,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s2,4.125,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s2,9.071,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s3,5.692,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s3,2.632,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s3,7.949,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s4,6.662,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s4,6.662,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s4,8.792,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s5,6.378,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s5,4.245,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s5,9.143,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s6,4.026,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s6,1.475,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s6,9.378,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s7,5.085,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s7,2.954,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s7,10.221,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s8,4.669,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s8,2.975,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s8,9.118,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s9,4.239,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s9,1,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s9,9.231,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s10,7.198,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s10,5.63,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s10,9.345,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s11,7.419,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s11,7.06,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s11,11.335,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s12,4.654,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s12,0.935,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s12,11.124,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s13,5.038,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s13,3.005,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s13,10.451,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s14,7.753,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s14,5.195,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s14,9.495,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s15,7.398,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s15,5.67,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s15,10.623,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s16,6.373,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s16,5.977,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s16,9.495,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s17,5.038,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s17,1.188,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s17,9.299,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s18,8.277,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s18,7.489,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s18,10.046,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s19,9.337,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s19,4.564,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s19,10.511,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s20,5.1,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s20,5.859,Speech context & No_attention,No_attention,Speech,2,1
