"","step","Context","Subject","T4_count","T4_percent"
"215",6,"zero","X14",7,1
"216",5,"zero","X14",7,1
"217",4,"zero","X14",7,1
"218",3,"zero","X14",7,1
"219",2,"zero","X14",7,1
"220",1,"zero","X14",7,1
"221",11,"zero","X12",0,0
"222",10,"zero","X12",0,0
"223",9,"zero","X12",0,0
"224",8,"zero","X12",0,0
"225",7,"zero","X12",0,0
"226",6,"zero","X12",3,0.428571428571429
"227",5,"zero","X12",5,0.714285714285714
"228",4,"zero","X12",7,1
"229",3,"zero","X12",7,1
"230",2,"zero","X12",7,1
"231",1,"zero","X12",7,1
"232",11,"zero","X13",0,0
"233",10,"zero","X13",1,0.142857142857143
"234",9,"zero","X13",3,0.428571428571429
"235",8,"zero","X13",6,0.857142857142857
"236",7,"zero","X13",7,1
"237",6,"zero","X13",7,1
"238",5,"zero","X13",7,1
"239",4,"zero","X13",7,1
"240",3,"zero","X13",7,1
"241",2,"zero","X13",7,1
"242",1,"zero","X13",7,1
"243",11,"zero","X18",0,0
"244",10,"zero","X18",0,0
"245",9,"zero","X18",0,0
"246",8,"zero","X18",0,0
"247",7,"zero","X18",3,0.428571428571429
"248",6,"zero","X18",4,0.571428571428571
"249",5,"zero","X18",7,1
"250",4,"zero","X18",7,1
"251",3,"zero","X18",7,1
"252",2,"zero","X18",7,1
"253",1,"zero","X18",7,1
"254",11,"zero","X11",0,0
"255",10,"zero","X11",0,0
"256",9,"zero","X11",0,0
"257",8,"zero","X11",0,0
"258",7,"zero","X11",0,0
"259",6,"zero","X11",3,0.428571428571429
"260",5,"zero","X11",7,1
"261",4,"zero","X11",7,1
"262",3,"zero","X11",7,1
"263",2,"zero","X11",7,1
"264",1,"zero","X11",7,1
"265",11,"zero","X26",2,0.285714285714286
"266",10,"zero","X26",4,0.571428571428571
"267",9,"zero","X26",5,0.714285714285714
"268",8,"zero","X26",6,0.857142857142857
"269",7,"zero","X26",6,0.857142857142857
"270",6,"zero","X26",7,1
"271",5,"zero","X26",7,1
"272",4,"zero","X26",7,1
"273",3,"zero","X26",7,1
"274",2,"zero","X26",5,0.714285714285714
"275",1,"zero","X26",7,1
"276",11,"zero","X21.1",3,0.428571428571429
"277",10,"zero","X21.1",5,0.714285714285714
"278",9,"zero","X21.1",5,0.714285714285714
"279",8,"zero","X21.1",6,0.857142857142857
"280",7,"zero","X21.1",7,1
"281",6,"zero","X21.1",7,1
"282",5,"zero","X21.1",7,1
"283",4,"zero","X21.1",7,1
"284",3,"zero","X21.1",6,0.857142857142857
"285",2,"zero","X21.1",7,1
"286",1,"zero","X21.1",7,1
